IlmnID,Infinium_Design_Type,CHR,MAPINFO,Relation_to_UCSC_CpG_Island
cg00035864,II,Y,8553009,
cg00050873,I,Y,9363356,N_Shore
cg00061679,II,Y,25314171,
cg00063477,II,Y,22741795,S_Shelf
cg00121626,II,Y,21664296,N_Shore
cg00212031,I,Y,21239348,Island
cg00213748,I,Y,8148233,S_Shore
cg00214611,I,Y,15815688,Island
cg00223952,II,Y,4868996,N_Shore
cg00243321,II,Y,6133740,Island
cg00271873,II,Y,14649908,S_Shore
cg00272582,II,Y,2802965,Island
cg00308367,II,Y,21868532,
cg00311963,II,Y,9747781,S_Shore
cg00335297,II,Y,24454527,N_Shore
cg00455876,I,Y,9385539,Island
cg00479827,II,Y,21036986,
cg00543493,II,Y,9342875,N_Shore
cg00576139,II,Y,6312218,
cg00599377,II,Y,9745678,Island
cg00639218,II,Y,14096487,N_Shelf
cg00676506,II,Y,22917913,
cg00679624,II,Y,17568445,Island
cg00762184,II,Y,14774526,
cg00789540,II,Y,9706621,Island
cg00876332,II,Y,21664717,Island
cg00903245,II,Y,9321293,N_Shore
cg00975375,II,Y,6173766,Island
cg01053349,II,Y,3446859,
cg01061520,II,Y,9478342,Island
cg01073572,II,Y,16924422,
cg01086462,II,Y,7429349,S_Shore
cg01141334,II,Y,13477785,Island
cg01209756,II,Y,19671414,Island
cg01215343,II,Y,10034551,Island
cg01311227,II,Y,2709627,
cg01375382,II,Y,2709598,
cg01426558,II,Y,15015682,N_Shore
cg01463110,II,Y,14648161,N_Shore
cg01498999,II,Y,16939383,N_Shelf
cg01523029,II,Y,9234365,Island
cg01644972,II,Y,22737556,N_Shore
cg01707559,I,Y,6778695,Island
cg01757887,II,Y,25114810,
cg01828798,II,Y,8571457,
cg01882666,II,Y,17571429,S_Shelf
cg01900066,II,Y,22754881,
cg01911472,II,Y,6781164,S_Shore
cg01943289,II,Y,22917296,
cg01984154,II,Y,2718782,
cg01988452,II,Y,22736528,N_Shore
cg02002345,II,Y,6777855,N_Shore
cg02004872,I,Y,15815552,Island
cg02011394,I,Y,9194502,Island
cg02012379,II,Y,22917894,
cg02050847,I,Y,22918038,
cg02056550,II,Y,8552374,
cg02105393,II,Y,2804282,Island
cg02107461,II,Y,14103651,N_Shelf
cg02126249,II,Y,9194524,Island
cg02129146,II,Y,7138198,N_Shelf
cg02233183,II,Y,16634382,N_Shore
cg02233190,I,Y,22737591,N_Shore
cg02272584,II,Y,8146855,N_Shore
cg02288797,II,Y,14532022,N_Shore
cg02340092,II,Y,16945913,S_Shelf
cg02352633,II,Y,23561638,
cg02402208,II,Y,9384707,N_Shore
cg02407581,II,Y,8553302,
cg02432075,II,Y,4870822,Island
cg02494853,I,Y,4868397,Island
cg02522936,II,Y,22680010,
cg02577797,II,Y,2802968,Island
cg02582450,II,Y,14075806,Island
cg02606988,II,Y,9216456,S_Shore
cg02616328,II,Y,2803947,Island
cg02624968,II,Y,10036321,N_Shore
cg02730008,II,Y,15814320,N_Shore
