IlmnID,Relation_to_UCSC_CpG_Island,CHR,Infinium_Design_Type
cg07881041,N_Shore,19,II
cg18478105,Island,20,I
cg23229610,N_Shelf,1,II
cg03513874,S_Shelf,2,II
cg09835024,Island,X,I
cg05451842,Island,14,II
cg14797042,,16,II
cg09838562,S_Shelf,6,II
cg25458538,,1,II
cg14361672,N_Shore,9,I
cg01763666,,17,I
cg09261072,,15,II
cg02404579,S_Shore,16,II
cg12950382,,14,I
cg02115394,Island,13,I
cg04118974,,1,II
cg01236347,,12,II
cg22585117,,11,II
cg25552317,,12,II
cg23875663,S_Shelf,20,II
cg25813447,N_Shelf,X,I
cg07659892,,1,II
cg15995909,,6,II
cg23728960,,12,II
cg11993619,S_Shelf,1,II
cg07779434,Island,X,I
cg01925883,,1,II
cg03452160,,17,II
cg09430819,,10,II
cg21784030,N_Shelf,6,II
cg13871826,N_Shore,1,II
cg13417420,Island,12,I
cg16474293,,1,II
cg14463239,,5,II
cg12480843,Island,8,I
cg26724186,Island,19,I
cg05301794,,14,II
cg08829765,N_Shore,3,II
cg10855276,N_Shelf,13,II
cg24133276,Island,5,I
cg12406992,S_Shore,1,II
cg14370485,Island,3,II
cg00617867,Island,5,I
cg05493344,N_Shore,9,II
cg13773083,S_Shore,2,I
cg05469734,,17,II
cg05650511,,1,II
cg07393050,,X,II
cg05530295,,12,II
cg10136773,,11,II
cg20725941,N_Shore,19,II
cg08098819,N_Shelf,11,II
cg15743833,,17,II
cg17236668,N_Shore,7,I
cg01282269,N_Shore,21,II
cg23897083,,12,II
cg20930040,,1,II
cg06386634,Island,7,II
cg16481497,,8,II
cg01140522,,5,II
cg05173528,,7,II
cg19607165,Island,6,I
cg11073926,Island,1,I
cg08770523,Island,4,I
cg21432842,,17,II
cg24347498,,1,II
cg08795713,,9,I
cg02977829,Island,X,II
cg24040570,N_Shore,1,I
cg10732921,N_Shore,4,II
cg01098981,,13,II
cg05850769,,14,II
cg07726959,,6,II
cg17408660,,11,II
cg12062270,,1,II
cg24652288,N_Shore,11,I
cg24581795,,8,II
cg25706713,,15,II
cg18160831,,2,II
cg25568397,,16,II
cg15998406,Island,19,I
cg06964503,,3,II
cg11890956,Island,21,I
cg25361701,,6,II
cg09387925,N_Shelf,15,I
cg01675618,Island,1,I
cg13702222,,3,II
cg02552646,,7,II
cg18548246,S_Shore,21,II
cg11947782,Island,1,I
cg21931115,,10,II
cg11945228,Island,6,I
cg12409226,S_Shore,7,II
cg10421346,,2,II
cg14361409,Island,14,I
cg10089552,,11,II
cg02073627,,1,II
cg13431597,,2,II
cg07147414,,6,II
cg00376553,N_Shelf,7,I
cg12898275,Island,6,I
cg21650422,Island,2,I
cg25617519,,2,II
cg16514717,,5,II
cg19453472,N_Shelf,7,I
cg02068090,Island,3,II
cg22685502,Island,3,II
cg02638655,Island,2,II
cg03436892,,5,II
cg24176744,N_Shore,10,I
cg11441173,,6,II
cg08360726,Island,19,I
cg14172094,N_Shore,9,II
cg14120658,,8,II
cg15376097,,11,II
cg12013871,,3,II
cg07590135,S_Shore,19,II
cg22344912,Island,15,II
cg19006848,,5,II
cg11420685,,1,II
cg00039070,,7,II
cg24796272,Island,8,II
cg20259501,,20,II
cg24851364,N_Shore,10,II
cg24506916,,1,II
cg00072839,N_Shore,X,I
cg13643060,,7,II
cg20390814,,8,II
cg03434319,,16,II
cg07469408,Island,14,I
cg07176589,S_Shore,8,II
cg06537454,,9,II
cg06786335,Island,13,II
cg14485407,,2,II
cg11715623,N_Shore,2,II
cg20060284,,2,II
cg12741001,,3,II
cg22337977,,21,II
cg08730728,Island,22,I
cg05738196,,6,I
cg25261995,Island,1,I
cg04002950,,14,II
cg22027155,,3,II
cg03716619,N_Shelf,16,II
cg13941639,,10,II
cg15323066,,1,II
cg22782271,N_Shore,6,I
cg26846647,Island,11,I
cg01998051,,16,II
cg01935129,S_Shore,17,II
cg19993487,N_Shore,9,II
cg03437204,Island,19,II
cg23100493,Island,13,II
cg21948301,,3,II
cg25294651,S_Shelf,22,I
cg05458295,,3,II
cg24568647,Island,10,I
cg01415275,Island,7,I
cg05876918,Island,12,II
cg16515064,S_Shore,6,II
cg01966076,N_Shore,14,II
cg13523652,S_Shore,3,II
cg00172270,Island,12,I
cg27548741,,16,I
cg19789047,,5,II
cg09659208,,10,I
cg10405115,,7,II
cg19873382,Island,6,II
cg19568003,Island,19,I
cg17021917,N_Shore,2,II
cg11385013,Island,19,I
cg14324440,Island,5,I
cg04982343,,13,II
cg08792798,,2,II
cg11564042,Island,3,I
cg27308188,,7,II
cg09955683,Island,13,I
cg14139735,,8,II
cg15972572,,7,I
cg03548035,N_Shelf,11,II
cg13807925,,5,II
cg20974387,,12,II
cg09948909,N_Shelf,6,II
cg14482569,S_Shore,11,I
cg02102020,N_Shore,1,II
cg03739014,S_Shelf,1,II
cg04405466,,10,II
cg00982984,S_Shelf,15,II
cg11780785,,16,I
cg21952484,Island,2,II
cg21277889,N_Shelf,7,II
cg09840155,,11,II
cg20390681,,2,II
cg25924761,,5,II
cg00075608,,5,II
cg06674009,,4,II
cg20247596,N_Shore,16,II
cg06320334,,9,II
cg18426033,,4,II
cg04608300,,15,II
cg07267139,,1,II
cg15347924,Island,6,I
cg03970319,Island,7,I
cg16692836,Island,15,I
cg17505155,,13,I
cg15034345,Island,2,I
cg15775835,Island,21,I
cg14057072,,13,II
cg00233745,,20,II
cg09170686,,2,II
cg01155927,N_Shore,19,II
cg21262144,,2,II
cg04226863,,8,II
cg17579075,Island,11,I
cg17693420,S_Shore,7,I
cg15734102,,18,II
cg18617728,,1,II
cg15399759,,17,II
cg00657287,N_Shore,5,II
cg24562943,N_Shore,12,II
cg14428027,Island,2,I
cg04957307,,12,II
cg00415852,,12,II
cg07281747,,17,II
cg03162770,Island,14,I
cg16017284,,9,II
cg25633548,,5,II
cg01761362,,17,II
cg03372187,N_Shore,3,II
cg13460871,N_Shore,1,II
cg14959801,Island,X,II
cg03760670,,3,II
cg21208107,S_Shore,7,II
cg25573839,,6,II
cg17305436,N_Shore,6,I
cg23760585,,6,II
cg13938504,N_Shelf,1,II
cg16178289,S_Shore,17,I
cg02294730,Island,15,I
cg07078398,,21,II
cg01658824,,12,I
cg01414772,,4,II
cg23659616,,13,II
cg01860459,,3,II
cg14434197,,14,II
cg04490824,,6,II
cg25593794,,1,I
cg17224835,N_Shelf,8,II
cg23087653,,1,I
cg23964696,S_Shelf,7,II
cg07677084,,9,II
cg00494446,,13,II
cg02713373,,12,II
cg26676405,,16,I
cg14085177,S_Shelf,9,I
cg18319761,,1,II
cg21630608,N_Shore,4,II
cg16315238,Island,5,I
cg15241920,N_Shore,19,I
cg23066364,Island,1,I
cg01631322,,11,II
cg25771195,S_Shore,16,II
cg10630015,,6,II
cg00019576,Island,8,I
cg10873486,Island,17,II
cg14473344,Island,3,I
cg25553841,,5,II
cg09717359,,6,II
cg10331755,,8,II
cg01808968,,1,II
cg06130805,,20,II
cg18340446,Island,3,I
cg02157216,,17,II
cg25894317,,2,II
cg07911708,N_Shelf,11,II
cg25857090,Island,21,I
cg18527814,S_Shore,10,II
cg10283879,N_Shelf,3,II
cg00426921,Island,1,I
cg02980693,Island,3,I
cg24940967,N_Shore,3,I
cg17638175,Island,16,I
cg00347904,Island,6,I
cg23368162,S_Shore,6,II
cg17652538,,9,II
cg02965092,,12,II
cg13413387,,2,I
cg16682225,,1,II
cg14604802,Island,18,I
cg10147507,Island,3,II
cg13016797,,5,II
cg17579214,Island,13,I
cg26222125,,11,II
cg13161614,Island,7,I
cg19087038,N_Shelf,3,II
cg00645593,Island,10,I
cg05747357,S_Shore,11,II
cg01995086,,8,II
cg11017445,,12,II
cg18454654,Island,11,I
cg18347642,Island,4,I
cg16550477,Island,X,I
cg08787332,,7,II
cg07194830,,16,II
cg27263894,N_Shore,X,I
cg00418216,Island,7,I
cg20350272,,5,II
cg05098827,,2,II
cg16788014,,4,II
cg13098091,S_Shore,11,II
cg18450859,N_Shore,3,II
cg26357360,,10,II
cg24172523,,6,II
cg06133110,N_Shore,7,II
cg07433154,,11,II
cg10394510,,3,II
cg24643105,N_Shore,11,II
cg26550989,N_Shore,2,II
cg08792074,,4,II
cg19248668,,2,II
cg18764577,Island,18,I
cg24188797,N_Shore,4,II
cg07264416,,17,II
cg01222290,,12,II
cg16818223,,12,II
cg23194206,,15,II
cg20255085,,12,II
cg21187462,N_Shore,9,I
cg09362366,S_Shelf,3,II
cg17331315,Island,21,II
cg26737090,,10,II
cg17604181,S_Shelf,5,II
cg26682213,Island,8,II
